"game_id","team","opponent","h/a","l8_sa","l8_sog","l8_miss","l8_blocks","l4_sa","l4_sog","l4_miss","l4_blocks","ha_sa","ha_sog","ha_miss","ha_blocks","l8_sa_ag","l8_sog_ag","l8_miss_ag","l8_blocks_ag","l4_sa_ag","l4_sog_ag","l4_miss_ag","l4_blocks_ag","ha_sa_ag","ha_sog_ag","ha_miss_ag","ha_blocks_ag","is_b2b","opp_is_b2b","true_sog","sog_trend","sog_ag_trend","home","off_def_gap","pace","shot_perc","shot_perc_ag"
2025020208,"MIN","NSH","away",67.75,29.625,17.875,20.25,67.5,30.75,19.25,17.5,59.3333333333333,25.8333333333333,14.6666666666667,18.8333333333333,59.25,31.375,14.875,13,54.5,30.25,13.25,11,60.7777777777778,32.7777777777778,14.1111111111111,13.8888888888889,0,1,25,1.125,-1.125,0,-1.75,61,0.437269372693727,0.529535864978903
2025020209,"COL","TBL","away",72.625,35.375,17.375,19.875,65.75,32.75,17.25,15.75,66.875,31.375,16,19.5,52.25,26.75,11.125,14.375,45.5,21.75,8,15.75,54.8333333333333,28.3333333333333,11,15.5,0,0,33,-2.625,-5,0,8.625,62.125,0.487091222030981,0.511961722488038
2025020210,"VGK","DET","away",59.25,26.875,13.5,18.875,55.25,23.5,13.25,18.5,58.8333333333333,26.5,14.8333333333333,17.5,60.125,28,15.25,16.875,62.5,29,15,18.5,55.1666666666667,23.3333333333333,13.8333333333333,18,0,0,34,-3.375,1,0,-1.125,54.875,0.453586497890295,0.465696465696466
2025020211,"ANA","FLA","away",61.375,30.375,14.375,16.625,60.5,29.5,12.5,18.5,69.4285714285714,34,17.1428571428571,18.2857142857143,55.25,24.75,14.625,15.875,48.75,19.5,14,15.25,47.2857142857143,20.7142857142857,12.8571428571429,13.7142857142857,0,0,32,-0.875,-5.25,0,5.625,55.125,0.494908350305499,0.447963800904977
2025020212,"LAK","WPG","away",61.875,30,14.875,17,65.5,29.75,17.25,18.5,54.5,27.625,11.5,15.375,65.125,30.75,16.625,17.75,63.75,30.25,17.5,16,63,30.875,15.25,16.875,0,0,26,-0.25,-0.5,0,-0.75,60.75,0.484848484848485,0.472168905950096
2025020213,"UTA","TOR","home",57.75,30.375,13.25,14.125,62,29.25,15.75,17,57.6,30.6,13.2,13.8,62,30.25,12.5,19.25,66.25,30.75,14.25,21.25,64.25,30.5,15.25,18.5,1,0,24,-1.125,0.5,1,0.125,60.625,0.525974025974026,0.487903225806452
2025020214,"STL","WSH","home",56.75,27.125,14,15.625,59.5,30.5,14,15,52.5,24.375,13.625,14.5,51.5,24.375,14.625,12.5,54,25.75,14.75,13.5,62.6,30.4,16.4,15.8,0,0,24,3.375,1.375,1,2.75,51.5,0.477973568281938,0.473300970873786
2025020215,"CBJ","CGY","home",63,32,14.875,16.125,60,30,12.5,17.5,62.1666666666667,30.1666666666667,15,17,56,29.625,12.375,14,57.75,29.75,13.75,14.25,58,30.8888888888889,13.3333333333333,13.7777777777778,0,0,43,-2,0.125,1,2.375,61.625,0.507936507936508,0.529017857142857
2025020216,"CHI","VAN","home",55.125,27.5,14.5,13.125,58.25,27.25,14.75,16.25,48,24.6666666666667,12.8333333333333,10.5,62.625,29.625,14.875,18.125,63,30.75,16.5,15.75,66.7777777777778,32.7777777777778,15.7777777777778,18.2222222222222,0,0,28,-0.25,1.125,1,-2.125,57.125,0.498866213151927,0.473053892215569
2025020217,"SJS","SEA","home",53.5,26.375,9.5,17.625,55.75,27.25,9,19.5,52.375,25.375,9.625,17.375,61.375,29.25,14.875,17.25,62.5,27.75,17,17.75,61.3333333333333,28.3333333333333,14.6666666666667,18.3333333333333,0,0,23,0.875,-1.5,1,-2.875,55.625,0.492990654205608,0.476578411405295
